CustomerID,TotalOrder,TotalQuantity,TotalSpend,FirstPurchase,LastPurchase,AVGBasketSize,AVGOrderValue,DaysSinceLast
12346,1,74215,77183.6,2011-01-18,2011-01-18,74215.0,77183.6,325
12347,7,2458,4310.0,2010-12-07,2011-12-07,351.14285714285717,615.7142857142857,2
12348,4,2332,1437.24,2010-12-16,2011-09-25,583.0,359.31,75
12349,1,630,1457.55,2011-11-21,2011-11-21,630.0,1457.55,18
12350,1,196,294.4,2011-02-02,2011-02-02,196.0,294.4,310
12352,7,526,1385.74,2011-02-16,2011-11-03,75.14285714285714,197.96285714285713,36
12353,1,20,89.0,2011-05-19,2011-05-19,20.0,89.0,204
12354,1,530,1079.4,2011-04-21,2011-04-21,530.0,1079.4,232
12355,1,240,459.4,2011-05-09,2011-05-09,240.0,459.4,214
12356,3,1573,2487.43,2011-01-18,2011-11-17,524.3333333333334,829.1433333333333,22
12357,1,2708,6207.67,2011-11-06,2011-11-06,2708.0,6207.67,33
12358,2,242,928.0600000000001,2011-07-12,2011-12-08,121.0,464.03000000000003,1
12359,4,1609,6310.03,2011-01-12,2011-10-13,402.25,1577.5075,57
12360,3,1156,2302.06,2011-05-23,2011-10-18,385.3333333333333,767.3533333333334,52
12361,1,90,174.9,2011-02-25,2011-02-25,90.0,174.9,287
12362,10,2197,4737.23,2011-02-17,2011-12-06,219.7,473.72299999999996,3
12364,4,1499,1208.1,2011-08-19,2011-12-02,374.75,302.025,7
12365,1,173,320.69,2011-02-21,2011-02-21,173.0,320.69,291
12367,1,172,150.9,2011-12-05,2011-12-05,172.0,150.9,4
12370,4,2349,3421.94,2010-12-14,2011-10-19,587.25,855.485,51
12371,1,582,1527.96,2011-10-11,2011-10-11,582.0,1527.96,59
12372,3,788,1196.04,2011-02-16,2011-09-29,262.6666666666667,398.68,71
12373,1,196,324.6,2011-02-01,2011-02-01,196.0,324.6,311
12374,1,339,622.93,2011-11-14,2011-11-14,339.0,622.93,25
12375,2,176,377.5,2011-09-02,2011-11-29,88.0,188.75,10
12377,2,942,1548.12,2010-12-20,2011-01-28,471.0,774.06,315
12378,1,2529,4008.62,2011-08-02,2011-08-02,2529.0,4008.62,129
12379,2,402,777.24,2011-06-22,2011-09-19,201.0,388.62,81
12380,4,1110,2427.81,2011-06-07,2011-11-18,277.5,606.9525,21
12381,3,797,1474.81,2011-08-12,2011-12-05,265.6666666666667,491.6033333333333,4
12383,5,1518,1628.56,2010-12-22,2011-06-08,303.6,325.712,184
12384,2,122,425.27,2011-08-10,2011-11-11,61.0,212.635,28
12386,2,354,401.9,2010-12-08,2011-01-06,177.0,200.95,337
12388,6,1462,2780.66,2011-01-17,2011-11-24,243.66666666666666,463.4433333333333,15
12390,1,350,504.84,2011-09-21,2011-09-21,350.0,504.84,79
12391,1,293,439.66,2011-11-18,2011-11-18,293.0,439.66,21
12393,4,816,1582.6,2011-01-11,2011-09-28,204.0,395.65,72
12394,2,808,1080.48,2011-05-06,2011-10-07,404.0,540.24,63
12395,12,2097,2682.63,2010-12-03,2011-11-20,174.75,223.5525,19
12397,2,1250,2214.9,2011-07-27,2011-11-04,625.0,1107.45,35
12398,1,1389,1435.66,2011-10-25,2011-10-25,1389.0,1435.66,45
12399,4,1173,1033.65,2011-03-23,2011-08-12,293.25,258.4125,119
12401,1,10,69.3,2011-02-09,2011-02-09,10.0,69.3,303
12402,1,92,195.6,2011-01-20,2011-01-20,92.0,195.6,323
12403,1,94,391.7,2011-10-21,2011-10-21,94.0,391.7,49
12405,1,849,1390.3899999999999,2011-07-14,2011-07-14,849.0,1390.3899999999999,148
12406,2,1818,3415.2999999999997,2011-06-09,2011-11-17,909.0,1707.6499999999999,22
12407,5,1403,1507.12,2011-03-20,2011-10-21,280.6,301.424,49
12408,5,1391,2618.55,2011-03-24,2011-11-07,278.2,523.71,32
12409,3,5551,11072.67,2011-06-10,2011-09-22,1850.3333333333333,3690.89,78
12410,2,207,533.33,2011-02-04,2011-02-04,103.5,266.665,308
12412,3,824,1142.8799999999999,2011-06-23,2011-09-26,274.6666666666667,380.96,74
12413,3,282,686.1,2011-01-06,2011-10-04,94.0,228.70000000000002,66
12414,3,297,442.41,2011-02-02,2011-05-06,99.0,147.47,217
12415,20,77669,124564.53,2011-01-06,2011-11-15,3883.45,6228.2265,24
12417,9,1527,3226.1,2010-12-17,2011-12-06,169.66666666666666,358.4555555555555,3
12418,1,407,668.58,2011-08-19,2011-08-19,407.0,668.58,112
12420,1,345,600.39,2011-10-07,2011-10-07,345.0,600.39,63
12421,4,478,639.04,2011-01-24,2011-11-24,119.5,159.76,15
12422,3,367,683.56,2011-01-19,2011-09-05,122.33333333333333,227.85333333333332,95
12423,8,1324,1634.31,2010-12-21,2011-12-09,165.5,204.28875,0
12424,2,740,1760.96,2011-06-30,2011-06-30,370.0,880.48,162
12425,1,496,777.2,2011-09-22,2011-09-22,496.0,777.2,78
12426,1,254,510.73,2011-05-29,2011-05-29,254.0,510.73,194
12427,3,526,699.8000000000001,2010-12-03,2011-11-18,175.33333333333334,233.26666666666668,21
