CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
12346,326,1,77183.6,1,1,5,115,Others
12347,3,7,4310.0,5,5,5,555,Champions
12348,76,4,1437.24,2,4,4,244,At Risk
12349,19,1,1457.55,4,1,4,414,Others
12350,311,1,294.4,1,1,2,112,Lost
12352,37,7,1385.74,3,5,4,354,Potential Loyalist
12353,205,1,89.0,1,1,1,111,Lost
12354,233,1,1079.4,1,1,4,114,Others
12355,215,1,459.4,1,1,2,112,Lost
12356,23,3,2487.43,4,3,5,435,Potential Loyalist
12357,34,1,6207.67,3,1,5,315,Others
12358,2,2,928.06,5,2,4,524,Others
12359,58,4,6310.03,3,4,5,345,Potential Loyalist
12360,53,3,2302.06,3,3,5,335,Potential Loyalist
12361,288,1,174.9,1,1,1,111,Lost
12362,4,10,4737.23,5,5,5,555,Champions
12364,8,4,1208.1,5,4,4,544,Loyal Customers
12365,292,1,320.69,1,1,2,112,Lost
12367,5,1,150.9,5,1,1,511,Need Attention
12370,52,4,3421.94,3,4,5,345,Potential Loyalist
12371,60,1,1527.96,3,1,4,314,Others
12372,72,3,1196.04,3,3,4,334,Potential Loyalist
12373,312,1,324.6,1,1,2,112,Lost
12374,26,1,622.93,4,1,3,413,Promising
12375,11,2,377.5,5,2,2,522,Need Attention
12377,316,2,1548.12,1,2,4,124,Others
12378,130,1,4008.62,2,1,5,215,Others
12379,82,2,777.24,2,2,3,223,Others
12380,22,4,2427.81,4,4,5,445,Potential Loyalist
12381,5,3,1474.81,5,3,4,534,Others
12383,185,5,1628.56,1,4,4,144,At Risk
12384,29,2,425.27,4,2,2,422,Need Attention
12386,338,2,401.9,1,2,2,122,Lost
12388,16,6,2780.66,4,5,5,455,Potential Loyalist
12390,80,1,504.84,2,1,3,213,Others
12391,22,1,439.66,4,1,2,412,Need Attention
12393,73,4,1582.6,2,4,4,244,At Risk
12394,64,2,1080.48,3,2,4,324,Others
12395,20,12,2682.63,4,5,5,455,Potential Loyalist
12397,36,2,2214.9,3,2,5,325,Others
12398,46,1,1435.66,3,1,4,314,Others
12399,120,4,1033.65,2,4,4,244,At Risk
12401,304,1,69.3,1,1,1,111,Lost
12402,324,1,195.6,1,1,1,111,Lost
12403,50,1,391.7,3,1,2,312,Need Attention
12405,149,1,1390.39,2,1,4,214,Others
12406,23,2,3415.3,4,2,5,425,Others
12407,50,5,1507.12,3,4,4,344,Potential Loyalist
12408,33,5,2618.55,4,4,5,445,Potential Loyalist
12409,79,3,11072.67,2,3,5,235,Others
12410,309,2,533.33,1,2,3,123,Others
12412,75,3,1142.88,2,3,4,234,Others
12413,67,3,686.1,3,3,3,333,Potential Loyalist
12414,218,3,442.41,1,3,2,132,Hibernating
12415,25,20,124564.53,4,5,5,455,Potential Loyalist
12417,4,9,3226.1,5,5,5,555,Champions
12418,113,1,668.58,2,1,3,213,Others
12420,64,1,600.39,3,1,3,313,Others
12421,16,4,639.04,4,4,3,443,Potential Loyalist
12422,96,3,683.56,2,3,3,233,Hibernating
12423,1,8,1634.31,5,5,4,554,Loyal Customers
12424,163,2,1760.96,2,2,4,224,Others
12425,79,1,777.2,2,1,3,213,Others
12426,195,1,510.73,1,1,3,113,Others
12427,22,3,699.8000000000001,4,3,3,433,Potential Loyalist
12428,26,8,6405.26,4,5,5,455,Potential Loyalist
12429,10,4,3388.4,5,4,5,545,Loyal Customers
12430,44,1,216.4,3,1,1,311,Need Attention
12431,36,15,6314.95,3,5,5,355,Potential Loyalist
12432,43,4,4359.32,3,4,5,345,Potential Loyalist
12433,1,7,13375.87,5,5,5,555,Champions
12434,85,2,806.14,2,2,3,223,Others
12435,80,2,7829.889999999999,2,2,5,225,Others
12436,100,1,429.01,2,1,2,212,Lost
12437,2,18,4447.41,5,5,5,555,Champions
12438,15,2,2466.85,5,2,5,525,Others
12441,367,1,155.55,1,1,1,111,Lost
12442,4,1,144.06,5,1,1,511,Need Attention
12444,22,5,4085.46,4,4,5,445,Potential Loyalist
12445,23,1,77.4,4,1,1,411,Need Attention
12446,58,1,1002.31,3,1,4,314,Others
12447,244,1,431.49,1,1,2,112,Lost
12448,45,1,365.45,3,1,2,312,Need Attention
12449,23,4,3596.29,4,4,5,445,Potential Loyalist
12450,157,2,197.88,2,2,1,221,Lost
12451,11,5,8995.52,5,4,5,545,Loyal Customers
12452,17,1,348.57,4,1,2,412,Need Attention
12453,135,1,707.09,2,1,3,213,Others
12454,57,1,3528.34,3,1,5,315,Others
12455,74,5,2339.86,2,4,5,245,At Risk
12456,45,3,2581.04,3,3,5,335,Potential Loyalist
12457,67,6,2043.23,3,5,5,355,Potential Loyalist
12458,72,2,787.4,3,2,3,323,Others
12461,155,1,626.88,2,1,3,213,Others
12462,19,2,937.59,4,2,4,424,Others
12463,54,4,1200.78,3,4,4,344,Potential Loyalist
12464,11,8,957.05,5,5,4,554,Loyal Customers
12465,18,2,682.1899999999999,4,2,3,423,Promising
12468,188,2,657.54,1,2,3,123,Others
12471,3,27,17388.649999999998,5,5,5,555,Champions
12472,33,7,6068.11,4,5,5,455,Potential Loyalist
12473,54,3,2585.73,3,3,5,335,Potential Loyalist
12474,18,18,6694.09,4,5,5,455,Potential Loyalist
12475,54,1,669.38,3,1,3,313,Others
12476,16,11,5898.42,4,5,5,455,Potential Loyalist
12477,23,6,13219.74,4,5,5,455,Potential Loyalist
12478,4,1,545.99,5,1,3,513,New Customers
12479,12,1,473.2,5,1,2,512,Need Attention
12480,29,4,2885.63,4,4,5,445,Potential Loyalist
12481,23,10,5003.82,4,5,5,455,Potential Loyalist
12483,18,8,1910.98,4,5,4,454,Potential Loyalist
12484,36,4,3939.32,3,4,5,345,Potential Loyalist
12488,10,3,1244.66,5,3,4,534,Others
12489,337,1,298.93,1,1,2,112,Lost
12490,6,10,4859.93,5,5,5,555,Champions
12491,39,1,424.4,3,1,2,312,Need Attention
12492,64,2,227.21,3,2,1,321,Need Attention
12493,166,2,379.74,2,2,2,222,Lost
12494,16,7,1084.1,4,5,4,454,Potential Loyalist
12497,82,1,953.1,2,1,4,214,Others
12498,22,3,349.7,4,3,2,432,Promising
12500,24,11,4059.82,4,5,5,455,Potential Loyalist
12501,337,1,2025.39,1,1,4,114,Others
12502,96,5,2995.87,2,4,5,245,At Risk
12504,19,2,428.05,4,2,2,422,Need Attention
12506,233,1,73.5,1,1,1,111,Lost
12507,135,3,1052.81,2,3,4,234,Others
12508,27,2,397.88,4,2,2,422,Need Attention
12509,285,1,158.5,1,1,1,111,Lost
12510,143,2,814.57,2,2,3,223,Others
12512,67,2,132.18,3,2,1,321,Need Attention
12513,113,1,558.29,2,1,3,213,Others
12514,268,1,1017.68,1,1,4,114,Others
12515,354,1,278.7,1,1,2,112,Lost
12516,78,2,1186.06,2,2,4,224,Others
12517,29,4,2301.6,4,4,5,445,Potential Loyalist
12518,1,5,1840.89,5,4,4,544,Loyal Customers
12519,64,1,276.84,3,1,2,312,Need Attention
12520,80,5,2346.26,2,4,5,245,At Risk
12521,143,1,545.68,2,1,3,213,Others
12522,40,2,156.72,3,2,1,321,Need Attention
12523,20,11,1699.77,4,5,4,454,Potential Loyalist
12524,10,8,3945.72,5,5,5,555,Champions
12526,1,3,1172.66,5,3,4,534,Others
12527,82,3,330.71,2,3,2,232,Hibernating
12528,10,6,1645.48,5,5,4,554,Loyal Customers
12530,60,4,1500.28,3,4,4,344,Potential Loyalist
12531,15,1,125.22,5,1,1,511,Need Attention
12532,31,1,313.83,4,1,2,412,Need Attention
12534,131,1,981.18,2,1,4,214,Others
12535,92,2,716.35,2,2,3,223,Others
12536,60,1,4279.71,3,1,5,315,Others
12538,30,1,363.95,4,1,2,412,Need Attention
12539,23,4,5568.35,4,4,5,445,Potential Loyalist
12540,20,17,11580.24,4,5,5,455,Potential Loyalist
12541,30,3,841.18,4,3,3,433,Potential Loyalist
12544,37,1,316.7,3,1,2,312,Need Attention
12545,76,2,832.39,2,2,3,223,Others
12546,47,2,1021.5,3,2,4,324,Others
12547,198,2,151.8,1,2,1,121,Lost
12548,167,1,67.19999999999999,2,1,1,211,Lost
12550,80,1,824.83,2,1,3,213,Others
12551,358,1,168.0,1,1,1,111,Lost
12552,40,1,317.82,3,1,2,312,Need Attention
12553,9,10,3278.28,5,5,5,555,Champions
12556,51,2,599.56,3,2,3,323,Others
12557,17,5,11990.96,4,4,5,445,Potential Loyalist
12558,8,1,269.96,5,1,2,512,Need Attention
12559,311,2,525.71,1,2,3,123,Others
12560,6,2,1918.01,5,2,4,524,Others
12561,303,1,238.85,1,1,1,111,Lost
12562,9,7,3385.74,5,5,5,555,Champions
12564,262,1,402.9,1,1,2,112,Lost
12565,289,1,145.92,1,1,1,111,Lost
12566,87,1,297.65,2,1,2,212,Lost
12567,23,10,8609.28,4,5,5,455,Potential Loyalist
12569,3,32,3152.69,5,5,5,555,Champions
12571,40,2,519.61,3,2,3,323,Others
12572,9,2,912.42,5,2,3,523,New Customers
12573,228,1,160.54,1,1,1,111,Lost
12574,316,1,182.45,1,1,1,111,Lost
12576,36,5,1315.83,3,4,4,344,Potential Loyalist
12577,36,3,622.65,3,3,3,333,Potential Loyalist
12578,22,2,2402.51,4,2,5,425,Others
12579,79,1,386.42,2,1,2,212,Lost
12580,247,1,379.7,1,1,2,112,Lost
12581,40,1,179.71,3,1,1,311,Need Attention
12582,239,2,351.36,1,2,2,122,Lost
12583,3,15,6705.38,5,5,5,555,Champions
12584,4,9,2254.15,5,5,5,555,Champions
12585,235,2,1824.1,1,2,4,124,Others
12586,18,1,196.94,4,1,1,411,Need Attention
12587,8,1,104.0,5,1,1,511,Need Attention
12588,40,1,174.9,3,1,1,311,Need Attention
12589,29,2,574.68,4,2,3,423,Promising
12590,212,1,9341.26,1,1,5,115,Others
12591,318,1,368.85,1,1,2,112,Lost
12592,93,2,401.6,2,2,2,222,Lost
12593,109,3,382.1,2,3,2,232,Hibernating
12594,38,9,3208.22,3,5,5,355,Potential Loyalist
12596,52,2,450.27,3,2,2,322,Need Attention
12597,20,4,3195.22,4,4,5,445,Potential Loyalist
12598,10,7,2807.08,5,5,5,555,Champions
12599,30,7,888.5799999999999,4,5,3,453,Potential Loyalist
12600,29,10,2311.04,4,5,5,455,Potential Loyalist
12601,190,5,487.06,1,4,3,143,Hibernating
12602,59,1,153.12,3,1,1,311,Need Attention
12603,22,1,613.2,4,1,3,413,Promising
12604,80,2,236.18,2,2,1,221,Lost
12607,61,1,1579.51,3,1,4,314,Others
12609,79,3,964.85,2,3,4,234,Others
12610,23,4,1747.54,4,4,4,444,Potential Loyalist
12611,53,1,1193.32,3,1,4,314,Others
12612,75,1,668.04,2,1,3,213,Others
12613,58,4,3092.38,3,4,5,345,Potential Loyalist
12614,278,1,315.6,1,1,2,112,Lost
12615,3,4,2093.19,5,4,5,545,Loyal Customers
12616,96,2,641.3,2,2,3,223,Others
12617,30,1,352.98,4,1,2,412,Need Attention
12618,22,1,137.31,4,1,1,411,Need Attention
12619,17,8,2945.56,4,5,5,455,Potential Loyalist
12620,15,3,1303.41,5,3,4,534,Others
12621,2,20,12411.67,5,5,5,555,Champions
12622,233,1,162.1,1,1,1,111,Lost
12623,277,1,269.1,1,1,2,112,Lost
12624,107,2,569.13,2,2,3,223,Others
12625,212,2,2413.82,1,2,5,125,Others
12626,24,9,5954.48,4,5,5,455,Potential Loyalist
12627,11,6,4082.53,5,5,5,555,Champions
12628,5,3,732.46,5,3,3,533,New Customers
12630,10,2,1030.88,5,2,4,524,Others
12631,58,1,480.5,3,1,2,312,Need Attention
12633,59,4,1929.98,3,4,4,344,Potential Loyalist
12635,90,2,1509.18,2,2,4,224,Others
12637,68,8,5804.9,3,5,5,355,Potential Loyalist
12638,34,1,511.69,3,1,3,313,Others
12639,239,1,366.1,1,1,2,112,Lost
12640,24,3,994.58,4,3,4,434,Potential Loyalist
12641,116,1,145.9,2,1,1,211,Lost
12642,26,3,905.26,4,3,3,433,Potential Loyalist
12643,129,6,3041.64,2,5,5,255,At Risk
12644,130,1,477.91,2,1,2,212,Lost
12645,34,4,1631.18,3,4,4,344,Potential Loyalist
12646,5,2,1346.97,5,2,4,524,Others
12647,23,12,3146.82,4,5,5,455,Potential Loyalist
12648,155,1,300.05,2,1,2,212,Lost
12649,108,3,569.51,2,3,3,233,Hibernating
12650,4,1,242.44,5,1,1,511,Need Attention
12651,335,1,114.0,1,1,1,111,Lost
12652,332,1,793.98,1,1,3,113,Others
12653,149,2,2209.85,2,2,5,225,Others
12654,11,5,529.98,5,4,3,543,Others
12656,18,5,3619.17,4,4,5,445,Potential Loyalist
12657,12,4,1427.18,5,4,4,544,Loyal Customers
12658,19,1,632.05,4,1,3,413,Promising
12659,30,1,73.67999999999999,4,1,1,411,Need Attention
12660,12,1,227.1,5,1,1,511,Need Attention
12662,1,11,3543.78,5,5,5,555,Champions
12664,9,9,4391.88,5,5,5,555,Champions
12665,325,1,45.0,1,1,1,111,Lost
12667,59,1,460.13,3,1,2,312,Need Attention
12668,12,4,3177.15,5,4,5,545,Loyal Customers
12669,151,2,1427.73,2,2,4,224,Others
12670,11,5,2744.05,5,4,5,545,Loyal Customers
12672,330,1,225.9,1,1,1,111,Lost
12673,6,2,574.52,5,2,3,523,New Customers
12674,39,4,1844.6,3,4,4,344,Potential Loyalist
12676,25,6,1091.39,4,5,4,454,Potential Loyalist
12678,43,9,16331.46,3,5,5,355,Potential Loyalist
12679,59,4,951.02,3,4,4,344,Potential Loyalist
12680,1,4,790.81,5,4,3,543,Others
12681,15,22,12365.54,5,5,5,555,Champions
12682,4,31,11019.82,5,5,5,555,Champions
12683,5,14,7612.57,5,5,5,555,Champions
12684,8,6,2073.63,5,5,5,555,Champions
12685,29,6,2575.08,4,5,5,455,Potential Loyalist
12686,372,1,71.14,1,1,1,111,Lost
12688,114,1,4873.81,2,1,5,215,Others
12689,26,2,1139.61,4,2,4,424,Others
12690,206,1,335.01,1,1,2,112,Lost
12691,29,5,927.8,4,4,4,444,Potential Loyalist
12693,128,4,711.91,2,4,3,243,Hibernating
12694,71,2,761.67,3,2,3,323,Others
12695,8,4,582.1,5,4,3,543,Others
12697,29,3,757.59,4,3,3,433,Potential Loyalist
12700,8,4,4525.99,5,4,5,545,Loyal Customers
12701,80,2,725.71,2,2,3,223,Others
12702,20,1,201.0,4,1,1,411,Need Attention
12703,72,1,265.55,3,1,2,312,Need Attention
12704,8,8,1740.84,5,5,4,554,Loyal Customers
12705,16,8,6382.29,4,5,5,455,Potential Loyalist
12707,292,1,603.42,1,1,3,113,Others
12708,30,10,2442.91,4,5,5,455,Potential Loyalist
12709,16,15,9400.52,4,5,5,455,Potential Loyalist
12710,97,3,1023.02,2,3,4,234,Others
12712,29,13,3928.13,4,5,5,455,Potential Loyalist
12713,1,1,794.55,5,1,3,513,New Customers
12714,10,5,4294.86,5,4,5,545,Loyal Customers
12715,107,1,263.36,2,1,2,212,Lost
12716,4,2,963.49,5,2,4,524,Others
12717,152,2,830.98,2,2,3,223,Others
12718,72,1,202.25,3,1,1,311,Need Attention
12719,6,2,572.95,5,2,3,523,New Customers
12720,3,25,5115.73,5,5,5,555,Champions
12721,32,6,2386.13,4,5,5,455,Potential Loyalist
12722,86,4,979.63,2,4,4,244,At Risk
12723,4,5,707.07,5,4,3,543,Others
12724,6,4,923.41,5,4,4,544,Loyal Customers
12725,372,1,371.8,1,1,2,112,Lost
12726,29,7,2411.1,4,5,5,455,Potential Loyalist
12727,11,7,3440.7,5,5,5,555,Champions
12728,72,4,728.33,3,4,3,343,Potential Loyalist
12729,114,1,417.01,2,1,2,212,Lost
12731,24,12,18751.91,4,5,5,455,Potential Loyalist
12732,180,1,218.26,2,1,1,211,Lost
12733,235,1,383.95,1,1,2,112,Lost
12734,353,1,110.4,1,1,1,111,Lost
12735,316,2,689.5699999999999,1,2,3,123,Others
12736,333,1,144.0,1,1,1,111,Lost
12738,373,1,137.35,1,1,1,111,Lost
12739,100,1,975.54,2,1,4,214,Others
12740,64,1,427.6,3,1,2,312,Need Attention
12744,57,4,9120.39,3,4,5,345,Potential Loyalist
12747,3,11,4196.01,5,5,5,555,Champions
12748,1,206,31650.78,5,5,5,555,Champions
12749,4,5,4040.88,5,4,5,545,Loyal Customers
12750,129,1,275.88,2,1,2,212,Lost
12752,82,1,4366.78,2,1,5,215,Others
12753,23,6,21429.39,4,5,5,455,Potential Loyalist
12754,236,3,3010.74,1,3,5,135,Others
12755,281,2,3811.95,1,2,5,125,Others
12756,87,1,112.08,2,1,1,211,Lost
12757,16,9,4176.75,4,5,5,455,Potential Loyalist
12758,117,2,2791.59,2,2,5,225,Others
12759,53,3,1411.44,3,3,4,334,Potential Loyalist
12762,8,2,1702.52,5,2,4,524,Others
12763,139,2,494.08,2,2,3,223,Others
12764,317,1,1693.88,1,1,4,114,Others
12766,4,7,6457.63,5,5,5,555,Champions
12769,239,1,1143.6,1,1,4,114,Others
12770,211,1,1351.45,1,1,4,114,Others
12772,60,1,752.47,3,1,3,313,Others
12775,18,5,1281.04,4,4,4,444,Potential Loyalist
12778,20,6,693.23,4,5,3,453,Potential Loyalist
12779,38,8,3981.36,3,5,5,355,Potential Loyalist
12781,64,2,786.74,3,2,3,323,Others
12782,5,5,1938.92,5,4,4,544,Loyal Customers
12783,3,4,1295.87,5,4,4,544,Loyal Customers
12784,16,1,476.82,4,1,2,412,Need Attention
12785,365,1,255.95,1,1,2,112,Lost
12787,10,3,418.66,5,3,2,532,New Customers
12789,66,1,76.85,3,1,1,311,Need Attention
12790,193,1,294.92,1,1,2,112,Lost
12791,374,1,177.6,1,1,1,111,Lost
12792,257,1,344.54,1,1,2,112,Lost
12793,335,2,461.48,1,2,2,122,Lost
12794,54,2,860.41,3,2,3,323,Others
12795,19,1,318.48,4,1,2,412,Need Attention
12797,366,1,226.03,1,1,1,111,Lost
12798,11,3,6977.04,5,3,5,535,Others
12802,187,1,397.58,1,1,2,112,Lost
12808,37,3,455.65,3,3,2,332,Others
12809,178,1,405.31,2,1,2,212,Lost
12811,262,2,458.85,1,2,2,122,Lost
12812,45,1,229.64,3,1,1,311,Need Attention
12814,102,1,85.92,2,1,1,211,Lost
12815,148,2,863.46,2,2,3,223,Others
12816,96,2,452.2,2,2,2,222,Lost
12817,282,1,126.04,1,1,1,111,Lost
12818,262,1,1182.08,1,1,4,114,Others
12820,4,4,942.34,5,4,4,544,Loyal Customers
12821,215,1,92.72,1,1,1,111,Lost
12822,71,2,948.88,3,2,4,324,Others
12823,75,5,1759.5,2,4,4,244,At Risk
12824,60,1,397.12,3,1,2,312,Need Attention
12826,3,7,1474.72,5,5,4,554,Loyal Customers
12827,6,3,430.15,5,3,2,532,New Customers
12828,3,6,1018.71,5,5,4,554,Loyal Customers
12829,337,2,293.0,1,2,2,122,Lost
12830,38,6,6814.64,3,5,5,355,Potential Loyalist
12831,263,1,215.05,1,1,1,111,Lost
12832,33,2,383.03,4,2,2,422,Need Attention
12833,146,1,417.38,2,1,2,212,Lost
12834,283,1,312.38,1,1,2,112,Lost
12836,60,4,2610.36,3,4,5,345,Potential Loyalist
12837,174,1,134.1,2,1,1,211,Lost
12838,34,2,671.95,3,2,3,323,Others
12839,3,14,5591.42,5,5,5,555,Champions
12840,144,4,2726.77,2,4,5,245,At Risk
12841,5,25,3991.58,5,5,5,555,Champions
12842,71,2,1118.99,3,2,4,324,Others
12843,66,8,1702.26,3,5,4,354,Potential Loyalist
12844,30,2,325.96,4,2,2,422,Need Attention
12845,268,4,354.09000000000003,1,4,2,142,Hibernating
12847,23,1,843.64,4,1,3,413,Promising
12849,32,2,992.65,4,2,4,424,Others
12851,97,1,131.81,2,1,1,211,Lost
12852,295,1,311.55,1,1,2,112,Lost
12853,135,6,1957.1,2,5,4,254,At Risk
12854,79,3,1316.25,2,3,4,234,Others
12855,373,1,38.1,1,1,1,111,Lost
12856,8,6,2170.78,5,5,5,555,Champions
12857,211,2,1106.4,1,2,4,124,Others
12863,53,1,521.2,3,1,3,313,Others
12864,139,1,147.12,2,1,1,211,Lost
12865,27,2,1568.23,4,2,4,424,Others
12866,284,1,499.12,1,1,3,113,Others
12867,27,7,4009.34,4,5,5,455,Potential Loyalist
12868,186,6,1607.06,1,5,4,154,At Risk
12871,85,2,380.64,2,2,2,222,Lost
12872,327,2,599.97,1,2,3,123,Others
12873,283,1,374.0,1,1,2,112,Lost
12875,144,2,343.23,2,2,2,222,Lost
12876,58,2,2053.02,3,2,5,325,Others
12877,4,12,1535.77,5,5,4,554,Loyal Customers
12878,237,2,854.99,1,2,3,123,Others
12879,45,3,573.22,3,3,3,333,Potential Loyalist
12881,276,1,298.0,1,1,2,112,Lost
12882,10,2,1463.04,5,2,4,524,Others
12883,25,4,703.47,4,4,3,443,Potential Loyalist
12884,89,1,309.05,2,1,2,212,Lost
12885,64,3,1175.22,3,3,4,334,Potential Loyalist
12886,68,2,1378.4,3,2,4,324,Others
12888,215,2,354.12,1,2,2,122,Lost
12890,25,1,376.72,4,1,2,412,Need Attention
12891,186,3,331.0,1,3,2,132,Hibernating
12893,31,1,176.55,4,1,1,411,Need Attention
12895,43,2,372.8,3,2,2,322,Need Attention
12897,205,2,216.5,1,2,1,121,Lost
12901,9,28,17654.54,5,5,5,555,Champions
12902,265,1,138.68,1,1,1,111,Lost
12904,19,2,496.06,4,2,3,423,Promising
12906,12,5,2919.81,5,4,5,545,Loyal Customers
12908,177,2,750.0,2,2,3,223,Others
12909,40,5,2178.67,3,4,5,345,Potential Loyalist
12910,24,8,3075.04,4,5,5,455,Potential Loyalist
12912,3,5,1662.3,5,4,4,544,Loyal Customers
12913,5,5,2483.63,5,4,5,545,Loyal Customers
12915,149,2,363.65,2,2,2,222,Lost
12916,139,4,2944.95,2,4,5,245,At Risk
12917,129,1,594.0,2,1,3,213,Others
12919,9,6,1335.19,5,5,4,554,Loyal Customers
12920,18,1,162.78,4,1,1,411,Need Attention
12921,10,37,16587.09,5,5,5,555,Champions
12922,162,1,405.38,2,1,2,212,Lost
12923,65,1,171.57,3,1,1,311,Need Attention
12924,89,4,925.75,2,4,4,244,At Risk
12925,5,2,694.05,5,2,3,523,New Customers
12928,36,5,2062.7,3,4,5,345,Potential Loyalist
12929,312,1,117.85,1,1,1,111,Lost
12930,79,2,415.8,2,2,2,222,Lost
12931,22,15,42055.96,4,5,5,455,Potential Loyalist
12933,25,3,607.53,4,3,3,433,Potential Loyalist
12935,3,7,2160.7,5,5,5,555,Champions
12936,18,4,1063.9,4,4,4,444,Potential Loyalist
12937,16,4,1504.27,4,4,4,444,Potential Loyalist
12938,26,1,114.14,4,1,1,411,Need Attention
12939,65,8,11581.8,3,5,5,355,Potential Loyalist
12940,55,2,899.69,3,2,3,323,Others
12942,132,3,675.6,2,3,3,233,Hibernating
12944,36,2,604.51,3,2,3,323,Others
12945,289,1,462.95,1,1,2,112,Lost
12947,144,6,1603.99,2,5,4,254,At Risk
12948,17,7,2064.95,4,5,5,455,Potential Loyalist
12949,31,8,4167.22,4,5,5,455,Potential Loyalist
12950,3,3,1843.0,5,3,4,534,Others
12951,9,6,1064.07,5,5,4,554,Loyal Customers
12952,6,4,1387.79,5,4,4,544,Loyal Customers
12953,10,1,329.85,5,1,2,512,Need Attention
12955,2,11,4757.16,5,5,5,555,Champions
12956,307,1,108.07,1,1,1,111,Lost
12957,10,8,4017.54,5,5,5,555,Champions
12962,8,2,266.39,5,2,2,522,Need Attention
12963,9,8,1856.63,5,5,4,554,Loyal Customers
12965,90,1,769.8100000000001,2,1,3,213,Others
12966,10,1,160.18,5,1,1,511,Need Attention
12967,359,2,1660.9,1,2,4,124,Others
12968,113,1,135.95,2,1,1,211,Lost
12970,8,4,405.47,5,4,2,542,Others
12971,4,86,11189.91,5,5,5,555,Champions
12974,198,1,144.8,1,1,1,111,Lost
12976,212,1,738.6,1,1,3,113,Others
12977,157,1,39.24,2,1,1,211,Lost
12980,158,9,7374.9,2,5,5,255,At Risk
12981,30,2,372.22,4,2,2,422,Need Attention
12982,243,1,390.54,1,1,2,112,Lost
12984,19,1,97.5,4,1,1,411,Need Attention
12985,1,2,1239.38,5,2,4,524,Others
12987,74,2,558.7,2,2,3,223,Others
12988,293,1,505.82,1,1,3,113,Others
12989,4,15,6924.11,5,5,5,555,Champions
12990,32,3,409.5,4,3,2,432,Promising
12991,24,2,503.76,4,2,3,423,Promising
12993,24,4,414.76,4,4,2,442,Others
